savings,wz240833,Anna Gomez,8111.00
checking,hr108256,Anna Gomez,1715.18
savings,hr676528,Anna Rodriguez,6738.80
checking,tx835396,Anna Rodriguez,2593.18
savings,mi131700,Anna Hernandez,7260.84
checking,fu854050,Anna Hernandez,1486.52
savings,up612655,Anna Tan,8029.41
checking,ya677058,Anna Tan,573.04
savings,jd235801,Anna Yang,7855.82
checking,yl434099,Anna Yang,1009.83
savings,wt710579,Anna Smith,8151.56
checking,bt445644,Anna Smith,2135.06
savings,qq260786,Anna Jones,6373.43
checking,hu872967,Anna Jones,2247.81
savings,gn184256,Anna Lee,6943.01
checking,wn924632,Anna Lee,1555.19
savings,jb675667,Anna Schmidt,8108.19
checking,ns925478,Anna Schmidt,2044.69
savings,zd994406,Anna DeAndre,7036.31
checking,yb115587,Anna DeAndre,1095.49
savings,vi430538,Anna Carpenter,7575.07
checking,kc402077,Anna Carpenter,1427.43
savings,ip228387,Anna Alvarez,9969.85
checking,ss597466,Anna Alvarez,695.12
savings,yh607238,Anna Wilson,7591.73
checking,fa371776,Anna Wilson,1836.18
savings,bq779016,Anna Miller,5695.77
checking,eh661072,Anna Miller,1450.81
savings,ux839899,Barbara Gomez,6008.06
checking,rh120800,Barbara Gomez,1521.49
savings,mr771695,Barbara Rodriguez,5725.28
checking,sm445325,Barbara Rodriguez,1027.64
savings,jp389006,Barbara Hernandez,6322.34
checking,rs599476,Barbara Hernandez,797.36
savings,hu247682,Barbara Tan,7500.78
checking,sd786473,Barbara Tan,1194.44
savings,qb235683,Barbara Yang,7099.94
checking,nn815052,Barbara Yang,1618.79
savings,pr470955,Barbara Smith,8838.86
checking,xu926691,Barbara Smith,2309.21
savings,kw843649,Barbara Jones,5193.36
checking,cr467080,Barbara Jones,2560.66
savings,lm253103,Barbara Lee,6449.39
checking,ke228476,Barbara Lee,1789.56
savings,xv821681,Barbara Schmidt,9251.95
checking,yc500519,Barbara Schmidt,2210.77
savings,so374484,Barbara DeAndre,6603.51
checking,dc766094,Barbara DeAndre,890.81
savings,te868782,Barbara Carpenter,7904.91
checking,ay738242,Barbara Carpenter,2253.89
savings,md866677,Barbara Alvarez,8996.70
checking,wl434224,Barbara Alvarez,1480.05
savings,qy320156,Barbara Wilson,6303.10
checking,vy365449,Barbara Wilson,1116.02
savings,vm423150,Barbara Miller,6733.18
checking,es461694,Barbara Miller,1938.23
savings,zo598023,Charles Gomez,5413.00
checking,xx487666,Charles Gomez,2458.55
savings,nr462828,Charles Rodriguez,6143.87
checking,wj870246,Charles Rodriguez,1344.56
savings,vq974543,Charles Hernandez,5570.76
